Time:                Temperature(C):      Altitude(m):         Pressure(psi):       
2009:16:08:36:42     -17.750740381208438  223.62879009216036   54.423474588903844*  
2009:16:08:36:42     -17.738228245418192  373.5407199260126    62.49094474744088*   
2009:16:08:36:42     -17.67176644853386   556.4712078747204    62.49094474744088*   
2009:16:08:36:43     -17.657940204803868  920.2855042509798    54.423474588903844   
2009:16:08:36:43     -17.564964095980994  1306.68898849413     70.55841490597791    
2009:16:08:36:43     -17.505469423271904  1413.877835469306    71.7907338248458     
2009:16:08:36:43     -17.453876791966042  1779.1768214457682   71.90733511390323    
2009:16:08:36:44     -17.430477882399657  1919.521213880824    71.84903446937452*   
2009:16:08:36:44     -17.429047944288435  2334.03352716028     71.84903446937452*   
2009:16:08:36:44     -17.326853820782087  2925.7683722975685   71.84903446937452*   
2009:16:08:36:44     -17.269631796438496  3926.166322159331    71.84903446937452*   
2009:16:08:36:45     -17.25793213160928   4255.237342081538    71.84903446937452*   
2009:16:08:36:45     -16.92694237454993   4376.219712795595    71.84903446937452*   
2009:16:08:36:45     -16.919943180681848  4423.536352938374    71.84903446937452*   
2009:16:08:36:45     -16.90613310185535   4572.0227103952475   71.84903446937452*   
2009:16:08:36:46     -16.850067496513333  4652.071690539621    71.84903446937452*   
2009:16:08:36:46     -16.743062469086638  4720.916094058838    71.84903446937452*   
2009:16:08:36:46     -16.720364408439153  4803.848626861044    71.84903446937452*   
2009:16:08:36:46     -16.598306145227085  4811.262458680537    71.84903446937452*   
2009:16:08:36:47     -16.291278010369737  4949.569263720206    71.84903446937452*   
2009:16:08:36:47     -16.093454774542753  5180.082152315024    71.84903446937452*   
2009:16:08:36:47     -15.836567379680755  5284.612692543105    71.84903446937452*   
2009:16:08:36:48     -15.742051893092995  5484.895597104497    71.84903446937452*   
2009:16:08:36:48     -15.72524531766788   6327.714373026648    71.84903446937452*   
2009:16:08:36:48     -15.666017262210167  6675.9224342469815   71.84903446937452*   
2009:16:08:36:48     -15.573799291810271  6825.318578581288    71.84903446937452*   
2009:16:08:36:49     -15.528218470706873  7283.838311978958    71.84903446937452*   
2009:16:08:36:49     -15.22786995729963   7337.711343716109    71.84903446937452*   
2009:16:08:36:49     -15.167432606044846  7347.401225330566    71.84903446937452*   
2009:16:08:36:49     -14.98146056039317   7358.90242891482     71.84903446937452*   
2009:16:08:36:50     -14.921788794050709  7436.800783505152    71.84903446937452*   
2009:16:08:36:50     -14.878007879956336  8101.895963418419    71.84903446937452*   
2009:16:08:36:50     -14.844353080036038  8377.239832910233    71.84903446937452*   
2009:16:08:36:50     -14.731541615618685  8631.162279721231    71.84903446937452*   
2009:16:08:36:51     -14.68521741969803   8897.30152729214     71.84903446937452*   
2009:16:08:36:51     -14.346085249532665  8921.579317354825    71.84903446937452*   
2009:16:08:36:51     -14.340515871357395  9291.638131191768    71.84903446937452*   
2009:16:08:36:51     -14.239640827044322  9883.762246658722    71.84903446937452*   
2009:16:08:36:52     -14.156183824891436  10195.263766282886   71.84903446937452*   
2009:16:08:36:52     -14.108906703130817  11137.265956486784   71.84903446937452*   
2009:16:08:36:52     -14.096219533655724  11183.37051279684    71.84903446937452*   
2009:16:08:36:52     -13.922668025674412  11995.542268090265   71.84903446937452*   
2009:16:08:36:53     -13.791898303921995  12715.262868461796   71.84903446937452*   
2009:16:08:36:53     -13.781574306091597  12898.099151320044   71.84903446937452*   
2009:16:08:36:53     -13.682131656213073  13881.95733480237    71.84903446937452*   
2009:16:08:36:53     -13.58895649725266   14316.46776310483    71.84903446937452*   
2009:16:08:36:54     -13.3964455234462    14336.454269989386   71.84903446937452*   
2009:16:08:36:54     -13.278223084994524  14398.362713123668   71.84903446937452*   
2009:16:08:36:54     -13.114710961777307  14533.828017297612   71.84903446937452*   
2009:16:08:36:54     -12.759841321471413  14693.479548996947   71.84903446937452*   
2009:16:08:36:55     -12.756322398222759  14766.443437415066   71.84903446937452*   
2009:16:08:36:55     -12.699783231510871  15308.069289976229   71.84903446937452*   
2009:16:08:36:55     -12.683623237398722  15502.397224303635   71.84903446937452*   
2009:16:08:36:55     -12.623484061229739  15737.678134842132   71.84903446937452*   
2009:16:08:36:56     -12.460874998387276  15784.414079694281   71.84903446937452*   
2009:16:08:36:56     -12.372377064733742  16063.17885751416    71.84903446937452*   
2009:16:08:36:56     -12.23227351578618   16173.100044585115   71.84903446937452*   
2009:16:08:36:56     -12.131094549710655  16382.716631268577   71.84903446937452*   
2009:16:08:36:57     -11.808535187989937  16863.50365027178    71.84903446937452*   
2009:16:08:36:57     -11.653534091956411  17267.976375866092   71.84903446937452*   
2009:16:08:36:57     -11.288787162774883  18004.19857392946    71.84903446937452*   
2009:16:08:36:57     -11.17099906038149   18059.97498227307    71.84903446937452*   
2009:16:08:36:58     -11.15669528036107   18289.49945073456    71.84903446937452*   
2009:16:08:36:58     -11.121292185674633  18958.838790603997   71.84903446937452*   
2009:16:08:36:58     -10.7890433519675    19375.202339303774   71.84903446937452*   
2009:16:08:36:58     -10.785479660904839  20925.07463324853    71.84903446937452*   
2009:16:08:36:59     -10.784328627120825  21342.6587708562     71.84903446937452*   
2009:16:08:36:59     -10.74460950286763   21547.6378693123     71.84903446937452*   
2009:16:08:36:59     -10.592988399953105  22179.706562954132   71.84903446937452*   
2009:16:08:36:59     -10.475172836990389  22307.669369774343   71.84903446937452*   
2009:16:08:37:00     -10.34067787150797   22721.924956584917   71.84903446937452*   
2009:16:08:37:00     -10.276821675289355  22855.37544131127    71.84903446937452*   
2009:16:08:37:00     -10.24820971825518   23246.656758545356   71.84903446937452*   
2009:16:08:37:00     -10.243191999109925  23281.601984755056   71.84903446937452*   
2009:16:08:37:01     -10.074677770809249  23326.129512522977   71.84903446937452*   
2009:16:08:37:01     -10.070175801985965  23466.62997107721    71.84903446937452*   
2009:16:08:37:01     -10.024293854297383  23581.3632439263     71.84903446937452*   
2009:16:08:37:01     -9.994003696033454   23681.345510838306   71.84903446937452*   
2009:16:08:37:02     -9.695867479576997   23823.999788522837   71.84903446937452*   
2009:16:08:37:02     -9.692190051372854   23975.38865215803    71.84903446937452*   
2009:16:08:37:02     -9.661786968633871   24039.01551704916    71.84903446937452*   
2009:16:08:37:02     -9.63994497036817    24244.850543384593   71.84903446937452*   
2009:16:08:37:03     -9.528429034390065   24983.642252816266   71.84903446937452*   
2009:16:08:37:03     -9.511824459061009   26682.620071016212   71.84903446937452*   
2009:16:08:37:03     -9.316315032597723   27207.73606879465    71.84903446937452*   
2009:16:08:37:03     -9.18619384384164    27248.096940617      71.84903446937452*   
2009:16:08:37:04     -9.046498586750454   27509.16911668505    71.84903446937452*   
2009:16:08:37:04     -9.03385957091873    27792.72288031374    71.84903446937452*   
2009:16:08:37:04     -8.668337538286067   28210.629057061375   71.84903446937452*   
2009:16:08:37:04     -8.58180679567184    28247.046654308848   71.84903446937452*   
2009:16:08:37:05     -8.546110744956719   28357.604707449354   71.84903446937452*   
2009:16:08:37:05     -8.386190775508398   28498.460921810503   71.84903446937452*   
2009:16:08:37:05     -8.253977924433796   28648.713807533608   71.84903446937452*   
2009:16:08:37:05     -8.198274996469681   29101.135860292947   71.84903446937452*   
2009:16:08:37:06     -7.537876162454255   29282.36088297721    71.84903446937452*   
2009:16:08:37:06     -7.516698178160717   29367.352677447154   71.84903446937452*   
2009:16:08:37:06     -7.3710467087054905  29820.180161799522   71.84903446937452*   
2009:16:08:37:06     -7.275350873940943   30010.93067596306    71.84903446937452*   
2009:16:08:37:07     -7.061154824684203   30167.380391944895   71.84903446937452*   
2009:16:08:37:07     -6.820521610617066   30307.4755273712     71.84903446937452*   
